Statement,Header,Field Name,Field Value;
Statement,Data,BrokerName,;
Statement,Data,BrokerAddress,;
Statement,Data,Title,Activity Statement;
"Statement,Data,Period,""January 1, 2022 - December 31, 2022""";
"Statement,Data,WhenGenerated,""2025-04-09, 03:29:07 EDT""";
Account Information,Header,Field Name,Field Value;
Account Information,Data,Name,John Doe;
Account Information,Data,Account,U7212345;
Account Information,Data,Account Type,Individual;
Account Information,Data,Customer Type,Individual;
Account Information,Data,Account Capabilities,Margin;
Account Information,Data,Base Currency,EUR;
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change;
Net Asset Value,Data,Cash ,-51574.925182549,3666.76655865,-0.000037477,3666.766521173,55241.691703721;
Net Asset Value,Data,Collateral Value,51448.8684561,0,0,0,-51448.8684561;
Net Asset Value,Data,Stock,145442.3725023,67046.5563152,0,67046.5563152,-78395.8161871;
Net Asset Value,Data,Securities Right To Use,-51448.8684561,0,0,0,51448.8684561;
Net Asset Value,Data,Interest Accruals,-67.8977058,0,-0.92,-0.92,66.9777058;
Net Asset Value,Data,Dividend Accruals,153.6579605,92.558992,0,92.558992,-61.0989685;
Net Asset Value,Data,Total,93953.207574451,70805.88186585,-0.920037477,70804.961828373,-23148.245746079;
Net Asset Value,Header,Time Weighted Rate of Return;
Net Asset Value,Data,-17.103207875%;
Change in NAV,Header,Field Name,Field Value;
Change in NAV,Data,Starting Value,93953.207574451;
Change in NAV,Data,Mark-to-Market,-16927.69354953;
Change in NAV,Data,Deposits & Withdrawals,-7258.385;
Change in NAV,Data,Dividends,2908.5130608;
Change in NAV,Data,Withholding Tax,-649.1406558;
Change in NAV,Data,Change in Dividend Accruals,-68.4607669;
Change in NAV,Data,Interest,-856.2183496;
Change in NAV,Data,Change in Interest Accruals,74.6348017;
Change in NAV,Data,Other Fees,-0.560112;
Change in NAV,Data,Commissions,-355.73009764;
Change in NAV,Data,Transaction Fees,-14.90977808;
Change in NAV,Data,Other FX Translations,-0.2952975;
Change in NAV,Data,Ending Value,70804.961828373;
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code;
Mark-to-Market Performance Summary,Data,Stocks,1177,0,0,--,--,-447.5638,7.1504,-7.60247808,25.7296,-422.28627808,;
Mark-to-Market Performance Summary,Data,Stocks,3BUS,0,0,--,--,-25.8,-93,-6,0,-124.8,;
Mark-to-Market Performance Summary,Data,Stocks,3DES,0,0,--,--,-79,-127,-6,0,-212,;
Mark-to-Market Performance Summary,Data,Stocks,AAPL,40,0,177.5700,--,-518.789666,-8.9677488,-1.98143298,8.9168968,-520.82195098,;
Mark-to-Market Performance Summary,Data,Stocks,AG,750,750,11.1100,8.3400,-1998.2856,0,0,16.9723154,-1981.3132846,;
"Mark-to-Market Performance Summary,Data,Stocks,AMZN,1,0,""3,334.3400"",--,-753.2482961,-5.14896,-1.07041991,0,-759.46767601,";
Mark-to-Market Performance Summary,Data,Stocks,BBZA,30,0,74.4000,--,-483,-9,-3,73.3907,-421.6093,;
Mark-to-Market Performance Summary,Data,Stocks,BNRd,30,0,79.5800,--,-222.6,25.8,-1.25,0,-198.05,;
Mark-to-Market Performance Summary,Data,Stocks,BTCE,0,0,--,--,-52.86,18.36,-6,0,-40.5,;
Mark-to-Market Performance Summary,Data,Stocks,BTEC,200,0,6.8290,--,-97.07093,-2.824928,-3.53116,0,-103.427018,;
Mark-to-Market Performance Summary,Data,Stocks,CCJ,200,200,21.8100,22.6700,53.65314,0,0,14.1037738,67.7569138,;
Mark-to-Market Performance Summary,Data,Stocks,CHTR,4,0,651.9700,--,-146.3822,36.5077924,-0.89169627,0,-110.76610387,;
Mark-to-Market Performance Summary,Data,Stocks,COPd,40,0,71.1500,--,-326,-4,-3,0,-333,;
Mark-to-Market Performance Summary,Data,Stocks,CRC,100,0,37.0100,--,981.8,15.6,-4.2029,274.7095237,1267.9066237,;
Mark-to-Market Performance Summary,Data,Stocks,CTSH,40,40,88.7200,57.1900,-1233.890548,0,0,28.7076636,-1205.1828844,;
Mark-to-Market Performance Summary,Data,Stocks,DBPDd,0,0,--,--,343.9,145.34,-15.9288,0,473.3112,;
Mark-to-Market Performance Summary,Data,Stocks,DES2,0,0,--,--,-142.7,-25.95,-9,0,-177.65,;
Mark-to-Market Performance Summary,Data,Stocks,DOCN,0,0,--,--,-300.945453,-8.771922,-1.90865937,0,-311.62603437,;
